allocator,runtime
default,1831.0
default,1843.0
default,1852.0
default,1856.0
default,1900.0
default,1855.0
default,1846.0
default,1865.0
default,1883.0
default,1933.0
default,1857.0
default,1862.0
default,1900.0
default,1864.0
default,1853.0
default,1836.0
default,1867.0
default,1876.0
default,1850.0
default,1939.0
default,1835.0
default,1835.0
default,1861.0
default,1827.0
default,1838.0
default,1891.0
default,1843.0
default,1908.0
default,1847.0
default,1847.0
default,1879.0
default,1845.0
default,1839.0
default,1841.0
default,1905.0
default,1906.0
default,1857.0
default,1890.0
default,1833.0
default,1844.0
default,1836.0
default,1909.0
default,1838.0
default,1912.0
default,1899.0
default,1854.0
default,1906.0
default,1863.0
default,1840.0
default,1855.0
default,1868.0
default,1854.0
default,1841.0
default,1915.0
default,1874.0
default,1840.0
default,1891.0
default,1856.0
default,1865.0
default,1873.0
hoard,1812.0
hoard,1804.0
hoard,1828.0
hoard,1832.0
hoard,1862.0
hoard,1871.0
hoard,1830.0
hoard,1821.0
hoard,1818.0
hoard,1840.0
hoard,1853.0
hoard,1822.0
hoard,1812.0
hoard,1821.0
hoard,1865.0
hoard,1816.0
hoard,1846.0
hoard,1830.0
hoard,1886.0
hoard,1830.0
hoard,1838.0
hoard,1813.0
hoard,1810.0
hoard,1838.0
hoard,1842.0
hoard,1805.0
hoard,1807.0
hoard,1794.0
hoard,1906.0
hoard,1849.0
hoard,1821.0
hoard,1868.0
hoard,1829.0
hoard,1823.0
hoard,1815.0
hoard,1812.0
hoard,1848.0
hoard,1816.0
hoard,1825.0
hoard,1798.0
hoard,1816.0
hoard,1797.0
hoard,1827.0
hoard,1872.0
hoard,1827.0
hoard,1809.0
hoard,1837.0
hoard,1855.0
hoard,1809.0
hoard,1832.0
hoard,1820.0
hoard,1818.0
hoard,1821.0
hoard,1806.0
hoard,1829.0
hoard,1811.0
hoard,1833.0
hoard,1838.0
hoard,1808.0
hoard,1835.0
jemalloc,1829.0
jemalloc,1831.0
jemalloc,1897.0
jemalloc,1825.0
jemalloc,1834.0
jemalloc,1836.0
jemalloc,1859.0
jemalloc,1807.0
jemalloc,1827.0
jemalloc,1818.0
jemalloc,1810.0
jemalloc,1824.0
jemalloc,1816.0
jemalloc,1800.0
jemalloc,1822.0
jemalloc,1813.0
jemalloc,1835.0
jemalloc,1818.0
jemalloc,1837.0
jemalloc,1821.0
jemalloc,1830.0
jemalloc,1824.0
jemalloc,1817.0
jemalloc,1844.0
jemalloc,1861.0
jemalloc,1831.0
jemalloc,1817.0
jemalloc,1811.0
jemalloc,1829.0
jemalloc,1837.0
jemalloc,1830.0
jemalloc,1869.0
jemalloc,1825.0
jemalloc,1865.0
jemalloc,1800.0
jemalloc,1824.0
jemalloc,1836.0
jemalloc,1868.0
jemalloc,1840.0
jemalloc,1835.0
jemalloc,1835.0
jemalloc,1860.0
jemalloc,1819.0
jemalloc,1830.0
jemalloc,1796.0
jemalloc,1809.0
jemalloc,1814.0
jemalloc,1825.0
jemalloc,1842.0
jemalloc,1840.0
jemalloc,1878.0
jemalloc,1843.0
jemalloc,1820.0
jemalloc,1853.0
jemalloc,1819.0
jemalloc,1814.0
jemalloc,1844.0
jemalloc,1849.0
jemalloc,1831.0
jemalloc,1892.0
