allocator,create,query,total
sys,7336610,542455473,549825041
sys,7302250,528765424,536074584
sys,7199167,534990960,542202643
sys,7235340,527484527,534726790
sys,7187160,538107025,545301515
sys,7237540,528652909,535897163
sys,7218435,539184316,546410059
sys,7199912,537684643,544891322
sys,7233208,537443032,544683148
sys,7232308,528594892,535833935
sys,7230885,531460476,538698027
sys,7268539,599346420,606621736
sys,7226262,593398088,600630786
sys,7210289,537874866,545091977
sys,7214042,549850405,557070513
sys,7314447,531393141,538719051
sys,7474630,524128038,531609265
sys,7246892,542627532,549881184
sys,7217124,529564957,536789011
sys,7199140,530063351,537269804
sys,7250430,532062775,539319733
sys,7194923,536427955,543630339
sys,7218938,531200376,538425806
sys,7216008,539025478,546248645
sys,7233632,548975109,556215470
sys,7178014,525680970,532866100
sys,7197540,535854563,543058833
sys,7206288,599783372,606996886
sys,7204824,529429362,536640472
sys,7204330,531329772,538540802
sys,7543626,595588290,603171403
sys,7243488,531888306,539138912
sys,7210178,587586767,594803650
sys,7247982,598519140,605774538
sys,7231543,533051428,540290605
sys,7203734,521975851,529186641
sys,7241380,510549145,517798025
sys,7220891,521593619,528821243
sys,7189783,519903247,527100591
sys,7209892,529232912,536449624
sys,7194859,513576254,520782210
sys,7224423,524816474,532047525
sys,7232748,521801398,529040629
sys,7211853,530607467,537825945
sys,7245137,520340006,527591830
sys,7238723,595523717,602768871
sys,7269818,536251390,543528021
sys,7209796,592665266,599881658
sys,7204480,528862466,536073657
sys,7195617,524340267,531542500
sys,7232534,521124666,528363951
sys,7221647,522441237,529670253
sys,7225439,527782217,535014379
sys,7099245,522516877,529623547
sys,7222341,520836333,528065577
sys,7209293,526758514,533975401
sys,7195174,588654955,595856913
sys,7210866,522742362,529960178
sys,7193614,521980202,529181214
sys,7295086,529303856,536605742
sys,7335810,535321594,542693627
sys,7207880,529259140,536473757
sys,7194047,529003626,536205795
sys,7186009,591865529,599058668
sys,7215981,526059802,533283898
sys,7240061,525295208,532542145
sys,7187377,520330990,527525527
sys,7279909,521933071,529219892
sys,7209729,528000498,535217244
sys,7251612,522321550,529579891
sys,7212656,521527981,528747788
sys,7207692,527779264,534993814
sys,7204588,521556551,528768102
sys,7237219,530725641,537969837
sys,7205760,544838410,552051076
sys,7192907,526380899,533580543
sys,7223812,535756269,542987117
sys,7217592,532939467,540164033
sys,7194934,524413939,531615998
sys,7194135,533900371,541101407
sys,7203863,526194216,533404967
sys,7223634,590926398,598156337
sys,7196368,582611812,589815350
sys,7193323,583487217,590687658
sys,7230431,526152398,533389675
sys,7188643,525527713,532723768
sys,7213362,522050024,529270133
sys,7188291,525354426,532549873
sys,7218940,523362980,530588431
sys,7204065,530910186,538121155
sys,7314280,539092719,546444993
sys,7244680,520478538,527730213
sys,7213615,522430432,529651559
sys,7277136,594002035,601286188
sys,7225096,592138454,599370657
sys,7238412,528671842,535919352
sys,7182413,523606045,530795182
sys,7203364,516010549,523220939
sys,7214499,527080576,534301901
sys,7260592,527106957,534375227
sys,7214793,519913309,527134662
sys,7240926,518063662,525312023
sys,7208900,525037840,532254037
sys,7220788,527119226,534347710
sys,7250010,587504051,594760477
sys,7210960,605248906,612466778
sys,7250457,526112387,533369958
