allocator,create_mean,query_mean,total_mean,create_stdev,query_stdev,total_stdev
sys,7344272.72,538200510.8466667,545553522.4866667,400641.01271034667,24749718.405169442,24723991.711441964
mem3_1mb,7948300.4,366241543.70666665,374200237.6666667,1471631.6576105803,14727686.59767162,14515477.927067118
mem3_128kb,7091802.406666666,440167057.2866667,447268779.4866667,380384.90505133633,237420307.82096076,237467451.49231339
mem3_16mb,7336721.833333333,470224277.6,477570773.35333335,551101.5381623469,17219128.60550652,17297354.34792485
mem5_1mb,7064112.386666667,560348568.34,567423808.0333333,220199.54497434798,38342238.15738754,38378290.296859644
mem5_128kb,6956409.586666667,213178958.40666667,220146079.61333334,228951.15303667137,117239524.39441618,117232396.78826913
mem5_16mb,7004476.993333333,507514323.02666664,514530090.1666667,240750.3874596949,16352324.270886784,16392300.81409255
hoard,7223200.226666667,494001962.03333336,501248204.9066667,230637.5063156001,23034054.66136788,23036124.56201058
jemalloc,7389399.393333334,401615864.9,409029408.82,261672.95553180567,23311771.28542431,23377053.2059548
nedmalloc,7170612.4,522514630.66,529693970.1666667,271531.7247937891,142609411.01837215,142581893.09778008
